Link,Dead Link Count
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidebots=0&userExpLevel=registered&hidemyself=1&hideminor=1&hidecategorization=0&limit=250&from=20200912180600&target=Module%3ATemplate_test_case%2Fconfig,4
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidebots=1&hidemyself=1&from=20200912180345&target=Module%3ATemplate_test_case%2Fconfig,1
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidebots=1&userExpLevel=registered&hidemyself=1&from=20200912180345&target=Module%3ATemplate_test_case%2Fconfig,1
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidebots=1&userExpLevel=registered&hidemyself=1&hidecategorization=0&hideWikibase=0&limit=250&from=20200912180600&target=Module%3ATemplate_test_case%2Fconfig,2
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidebots=1&userExpLevel=registered&hidemyself=1&hidecategorization=0&hidenondamaging=1&from=20200912180432&target=Module%3ATemplate_test_case%2Fconfig,1
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidebots=1&userExpLevel=registered&hidemyself=1&hideminor=1&hidenondamaging=1&limit=250&from=20200912180534&target=Module%3ATemplate_test_case%2Fconfig,6
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidebots=1&userExpLevel=registered&hidemyself=1&hidenondamaging=1&from=20200912180534&target=Module%3ATemplate_test_case%2Fconfig,1
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidebots=1&userExpLevel=unregistered&hidemyself=1&hidenondamaging=1&from=20200912180458&target=Module%3ATemplate_test_case%2Fconfig,3
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidecategorization=0&userExpLevel=registered&hidemyself=1&hidebots=0&from=20200912180401&target=Module%3ATemplate_test_case%2Fconfig,1
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidecategorization=0&userExpLevel=registered&hidemyself=1&hidebots=0&hideminor=1&from=20200912180422&target=Module%3ATemplate_test_case%2Fconfig,5
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidecategorization=0&userExpLevel=registered&hidemyself=1&hideminor=1&hidenondamaging=1&limit=250&from=20200912180534&target=Module%3ATemplate_test_case%2Fconfig,1
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidecategorization=1&userExpLevel=registered&hidemyself=1&hidebots=0&hideminor=1&limit=250&from=20200912180600&target=Module%3ATemplate_test_case%2Fconfig,1
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidecategorization=1&userExpLevel=unregistered&hidemyself=1&hidebots=0&hidenondamaging=1&from=20200912180458&target=Module%3ATemplate_test_case%2Fconfig,7
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hideminor=0&userExpLevel=registered&hidemyself=1&hidebots=0&from=20200912180401&target=Module%3ATemplate_test_case%2Fconfig,1
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hideminor=0&userExpLevel=registered&hidemyself=1&hidebots=0&hidecategorization=0&limit=250&from=20200912180600&target=Module%3ATemplate_test_case%2Fconfig,5
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hideminor=0&userExpLevel=registered&hidemyself=1&hidebots=0&hidenondamaging=1&from=20200912180534&target=Module%3ATemplate_test_case%2Fconfig,1
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hideminor=1&userExpLevel=registered&hidemyself=1&hidebots=0&from=20200912180401&target=Module%3ATemplate_test_case%2Fconfig,2
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hideminor=1&userExpLevel=registered&hidemyself=1&hidebots=0&hidenondamaging=1&from=20200912180534&target=Module%3ATemplate_test_case%2Fconfig,8
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidemyself=0&userExpLevel=registered&hidebots=0&hideWikibase=0&hidenondamaging=1&from=20200912180534&target=Module%3ATemplate_test_case%2Fconfig,1
